metric,cell,mean,std,n,ci_lo,ci_hi
perspective_diversity,hom_notom,0.15543003639090022,0.003901105237606144,3,0.1527349833975238,0.15990344501861126
perspective_diversity,hom_tom,0.06943372185617812,0.015899904165644973,3,0.05310319043132472,0.08486481580859928
perspective_diversity,het_notom,1.7654879995461077,0.051004922351812476,3,1.706812057179625,1.7992251120851523
perspective_diversity,het_tom,0.5040154159097202,0.10439132117318288,3,0.3848776465280636,0.5794648505392318
cooperation_payoff,hom_notom,2.2444444444444445,0.02694301256218272,3,2.2199999999999998,2.2733333333333334
cooperation_payoff,hom_tom,2.1933333333333334,0.11566234381931645,3,2.06,2.2666666666666666
cooperation_payoff,het_notom,0.5799999999999998,0.01154700538379243,3,0.5666666666666667,0.5866666666666666
cooperation_payoff,het_tom,1.2955555555555556,0.13001424223386723,3,1.166666666666667,1.4266666666666667
equilibrium_convergence,hom_notom,0.9822222222222222,0.030792014356780046,3,0.9466666666666667,1.0
equilibrium_convergence,hom_tom,0.9733333333333333,0.035276684147527874,3,0.9333333333333332,1.0
equilibrium_convergence,het_notom,0.9644444444444445,0.033554819712314436,3,0.9333333333333332,1.0
equilibrium_convergence,het_tom,0.9511111111111111,0.05047918503600246,3,0.8933333333333332,0.9866666666666667
tom_prediction_accuracy,hom_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,hom_tom,0.6655555555555556,0.04233901974057251,3,0.6166666666666667,0.69
tom_prediction_accuracy,het_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,het_tom,0.5411111111111112,0.03532914021241035,3,0.5033333333333333,0.5733333333333334