seed,cell,perspective_diversity,cooperation_payoff,payoff_ci_lo,payoff_ci_hi,equilibrium_convergence,tom_prediction_accuracy,tom_ci_lo,tom_ci_hi,n_episodes,wall_time_s
1,hom_notom,0.15365168075656566,2.2733333333333334,1.9465000000000001,2.586666666666667,1.0,nan,nan,nan,30,26.3
1,hom_tom,0.05310319043132472,2.2533333333333334,2.0733333333333337,2.4466666666666668,1.0,0.69,0.6366666666666667,0.74,30,103.1
1,het_notom,1.7992251120851521,0.5866666666666664,0.5000000000000001,0.6799999999999999,1.0,nan,nan,nan,30,17.7
1,het_tom,0.5477037506618654,1.2933333333333332,1.0733333333333337,1.506666666666667,0.9866666666666667,0.5466666666666666,0.4899166666666668,0.6033333333333334,30,106.0
2,hom_notom,0.1527349833975238,2.2399999999999998,1.9133333333333333,2.566666666666667,1.0,nan,nan,nan,30,25.8
2,hom_tom,0.07033315932861034,2.06,1.866666666666667,2.2666666666666666,0.9866666666666667,0.6166666666666667,0.5633333333333334,0.67,30,99.8
2,het_notom,1.7068120571796253,0.5866666666666666,0.5066666666666667,0.6733333333333335,0.96,nan,nan,nan,30,17.4
2,het_tom,0.38487764652806356,1.4266666666666667,1.2200000000000002,1.6333333333333335,0.8933333333333333,0.5733333333333334,0.5199166666666668,0.6266666666666667,30,102.8
3,hom_notom,0.15990344501861126,2.2199999999999998,1.8733333333333335,2.54,0.9466666666666667,nan,nan,nan,30,26.4
3,hom_tom,0.08486481580859928,2.2666666666666666,2.0733333333333333,2.4600000000000004,0.9333333333333333,0.69,0.6366666666666667,0.7434166666666662,30,106.5
3,het_notom,1.790426829373546,0.5666666666666667,0.4866666666666667,0.6533333333333332,0.9333333333333333,nan,nan,nan,30,19.0
3,het_tom,0.5794648505392318,1.166666666666667,0.9666666666666668,1.36,0.9733333333333334,0.5033333333333333,0.44,0.5633333333333334,30,107.5