sample_id,human_label,human_confidence,human_notes
DV001,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV002,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV003,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV004,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV005,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV006,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV007,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV008,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV009,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV010,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV011,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV012,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV013,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV014,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV015,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV016,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV017,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV018,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV019,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV020,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV021,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV022,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV023,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV024,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV025,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV026,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV027,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV028,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV029,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV030,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV031,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV032,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV033,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV034,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV035,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV036,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV037,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV038,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV039,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV040,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV041,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV042,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV043,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV044,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV045,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV046,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV047,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV048,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV049,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV050,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV051,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV052,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV053,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV054,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV055,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV056,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV057,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV058,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV059,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV060,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV061,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV062,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV063,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV064,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV065,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV066,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV067,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV068,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV069,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV070,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV071,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV072,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV073,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV074,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV075,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV076,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV077,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV078,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV079,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV080,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV081,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV082,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV083,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV084,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV085,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV086,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV087,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV088,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV089,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV090,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV091,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV092,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV093,insufficient_cooperation,3,Only one or no agents used load actions.
DV094,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV095,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV096,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV097,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV098,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV099,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV100,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV101,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV102,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV103,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV104,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV105,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV106,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV107,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV108,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV109,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV110,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV111,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV112,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV113,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV114,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV115,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV116,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV117,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV118,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV119,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV120,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV121,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV122,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV123,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV124,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV125,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV126,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV127,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV128,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV129,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV130,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV131,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV132,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV133,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV134,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV135,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV136,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV137,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV138,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV139,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV140,insufficient_cooperation,3,Only one or no agents used load actions.
DV141,insufficient_cooperation,3,Only one or no agents used load actions.
DV142,insufficient_cooperation,3,Only one or no agents used load actions.
DV143,insufficient_cooperation,3,Only one or no agents used load actions.
DV144,insufficient_cooperation,3,Only one or no agents used load actions.
DV145,insufficient_cooperation,3,Only one or no agents used load actions.
DV146,insufficient_cooperation,3,Only one or no agents used load actions.
DV147,insufficient_cooperation,3,Only one or no agents used load actions.
DV148,insufficient_cooperation,3,Only one or no agents used load actions.
DV149,insufficient_cooperation,3,Only one or no agents used load actions.
DV150,insufficient_cooperation,3,Only one or no agents used load actions.
DV151,insufficient_cooperation,3,Only one or no agents used load actions.
DV152,insufficient_cooperation,3,Only one or no agents used load actions.
DV153,insufficient_cooperation,3,Only one or no agents used load actions.
DV154,insufficient_cooperation,3,Only one or no agents used load actions.
DV155,insufficient_cooperation,3,Only one or no agents used load actions.
DV156,insufficient_cooperation,3,Only one or no agents used load actions.
DV157,insufficient_cooperation,3,Only one or no agents used load actions.
DV158,insufficient_cooperation,3,Only one or no agents used load actions.
DV159,insufficient_cooperation,3,Only one or no agents used load actions.
DV160,insufficient_cooperation,3,Only one or no agents used load actions.
DV161,insufficient_cooperation,3,Only one or no agents used load actions.
DV162,insufficient_cooperation,3,Only one or no agents used load actions.
DV163,insufficient_cooperation,3,Only one or no agents used load actions.
DV164,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV165,insufficient_cooperation,3,Only one or no agents used load actions.
DV166,insufficient_cooperation,3,Only one or no agents used load actions.
DV167,insufficient_cooperation,3,Only one or no agents used load actions.
DV168,insufficient_cooperation,3,Only one or no agents used load actions.
DV169,insufficient_cooperation,3,Only one or no agents used load actions.
DV170,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV171,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV172,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV173,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV174,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV175,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV176,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV177,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV178,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV179,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV180,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV181,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV182,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV183,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV184,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV185,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV186,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV187,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV188,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV189,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV190,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV191,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV192,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV193,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV194,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV195,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV196,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV197,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV198,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV199,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV200,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV201,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV202,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV203,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV204,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV205,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV206,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV207,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV208,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV209,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV210,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV211,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV212,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV213,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV214,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV215,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV216,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV217,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV218,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV219,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV220,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV221,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV222,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV223,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV224,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV225,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV226,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV227,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV228,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV229,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV230,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV231,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV232,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV233,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV234,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV235,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV236,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV237,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV238,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV239,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV240,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV241,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV242,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV243,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV244,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV245,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV246,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV247,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV248,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV249,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV250,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV251,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV252,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV253,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV254,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV255,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV256,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV257,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV258,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV259,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV260,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV261,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV262,inefficient_exploration,3,No positive reward steps indicate failure to reach useful objectives.
DV263,insufficient_cooperation,3,Only one or no agents used load actions.
DV264,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV265,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV266,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV267,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV268,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV269,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV270,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV271,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV272,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV273,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV274,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV275,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV276,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV277,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV278,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV279,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV280,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV281,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV282,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV283,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV284,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV285,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV286,target_miscoordination,2,Load attempts are strongly imbalanced across active agents.
DV287,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV288,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV289,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV290,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV291,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV292,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV293,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV294,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV295,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV296,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV297,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV298,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV299,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
DV300,low_value_overcommitment,2,"Many load attempts produced no reward, suggesting unproductive commitment."
